State Name,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown,,
Maryland,13586620,224733,288402,10569548,174828,9557069,202867,4899215,81,4354274,92.4,4275073,70.7,3834408,81.4,8288000,4707720,590900,0,348139,3890589,6316198,14622,1459095,2497037,315160,3781,1458540,2057489,314827,3552,N/A,81,N/A,92.4,67.5,3640981,77.3,4899215,983822,95,888010,92.6,423777,408788,54384,1061,2422698,252523,1416160,4716015,91.3,4151932,80.4,1459033,2374125,315023,3751,10262508,198775,263159,4898676,86.2,4274962,75.2,1459063,2496998,315122,3779,10568917,185950,239044,1682504,39.4,1660364,43.3,1090623,56.4,595030,67,742264,910832,29104,304,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Massachusetts,14986740,217435,270533,13186234,191313,11985085,216349,6303412,91.5,5646602,95,5166045,75,4640346,83.8,8717240,5669300,600200,0,387814,5203374,7594621,425,1840122,2954443,371304,176,1834769,2435362,370058,157,N/A,91.5,N/A,95,71.4,4396642,79.4,6303412,1361083,95,1086443,92.9,491327,521637,73414,65,3068689,262431,1281650,6057605,95,4989221,82.9,1840086,2777683,371277,175,12763209,212128,249084,6303231,95,5166017,79,1840113,2954429,371299,176,13186099,201772,229325,2086852,40.4,2063366,44.5,1287078,55.1,694610,63.9,1020511,1044988,21345,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Michigan,18418430,184427,234841,14151800,141704,13112930,167194,6374999,63.8,5820244,74.2,5702584,57.1,5242704,66.8,10312650,7197580,908200,0,445626,5567018,8137158,1998,2096283,3197303,407979,1019,2095534,2738571,407665,934,N/A,63.8,N/A,74.2,54.3,4962152,63.3,6374999,1671583,94.7,1526583,86.5,763009,692766,70237,571,4160313,235658,1043300,6187275,72,5569939,64.8,2096225,3064750,407950,1014,13832293,160934,214292,6374659,67.7,5702532,60.5,2096264,3197285,407965,1018,14151429,150221,195516,2463729,43.2,2443799,46.6,1746190,58,1043001,68.3,1098492,1325520,39647,70,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Minnesota,11096570,196761,255889,9257644,164153,8397819,193655,4050582,71.8,3598127,83,3709567,65.8,3319946,76.6,6719070,3885500,492000,0,346255,3409238,5499026,3125,1266792,2121700,320036,1039,1264521,1734911,319518,996,N/A,71.8,N/A,83,62.6,3141763,72.4,4050582,931062,95,872547,94.8,367316,454714,50233,284,2434314,264490,1205650,3874014,81.1,3578005,74.9,1266762,1990197,320018,1028,8950773,187330,232239,4050331,76.6,3709518,70.1,1266785,2121673,320021,1039,9257357,175063,209844,1778616,47.9,1761383,53.1,1160553,66.3,669086,76.7,735383,1017547,25436,250,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Mississippi,4798705,161239,210694,3515156,118111,3289034,144410,1673882,56.2,1546187,67.9,1450300,48.7,1352705,59.4,2652665,1929740,216300,0,87043,1432579,1993257,2277,564620,803989,80927,764,564292,706840,80831,742,N/A,56.2,N/A,67.9,46.6,1289028,56.6,1673882,436503,89.7,399279,82,203777,177736,17400,366,1052121,216178,985982,1649369,65.4,1437078,57,564608,790794,80912,764,3477135,137904,190317,1673743,59.9,1450271,51.9,564612,803979,80916,764,3515000,125865,171832,430772,29.7,428858,31.7,342086,43.3,214640,53.8,205720,218563,6161,328,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Missouri,10181565,165893,213591,8147461,132750,7558451,158563,3845008,62.6,3519629,73.8,3264934,53.2,3010527,63.2,5980665,3790300,410600,0,239890,2968176,4937087,2308,1126195,1909638,228498,603,1125722,1656112,228240,453,N/A,62.6,N/A,73.8,50.4,2840628,59.6,3845008,996834,93.9,875521,82.4,398760,437110,39490,161,2393574,225376,958683,3745037,71.5,3201398,61.1,1126181,1846150,228472,595,7983309,152478,194464,3844698,66.6,3264897,56.6,1126183,1909629,228482,603,8147127,141214,176477,1121026,34.3,1114713,37,813299,48.1,513373,58.6,467945,639065,13970,46,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Montana,1771895,165787,210892,1454654,136104,1353567,161102,665778,62.3,610315,72.6,579273,54.2,535685,63.8,946255,722040,103600,0,57951,617447,777457,1799,230028,296227,52593,425,229900,252839,52528,418,N/A,62.3,N/A,72.6,50.4,495618,59,665778,192912,93.4,174023,84.3,83546,80393,9880,204,476095,230625,858322,647506,70.6,567255,61.8,230008,284235,52587,425,1424326,155223,193101,665672,66.1,579246,57.5,230012,296221,52588,425,1454512,144351,175849,236069,40.8,234734,43.8,172289,55.2,111653,64.2,112552,119096,4151,270,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Nebraska,3492130,180527,239460,2894196,149617,2641937,181161,1292123,66.8,1157598,79.4,1164409,60.2,1052703,72.2,2111190,1233440,147500,0,89867,1055713,1742963,5653,403544,674480,84923,1462,403355,563116,84838,1394,N/A,66.8,N/A,79.4,57.3,996709,68.3,1292123,302556,95,282668,90.5,137430,137530,6827,881,795858,254709,1117630,1247173,77.1,1132710,70,403510,642845,84901,1454,2817137,174176,215909,1291883,71.6,1164353,64.6,403524,674459,84908,1462,2893893,160457,193628,486094,41.7,481152,45.7,326067,59.3,196132,69.4,194516,286431,4868,279,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Nevada,5216950,169373,218509,4379291,142178,4060369,170067,2161443,70.2,1980306,82.9,1749590,56.8,1619709,67.8,3166090,1799260,251600,0,177944,1529278,2671560,509,582637,1000558,166338,57,582534,870830,166290,55,N/A,70.2,N/A,82.9,52.4,1484116,62.2,2161443,484097,95,403809,81.4,186509,191677,25592,31,1108113,223422,1051860,2119017,80.8,1725433,65.8,582633,976409,166334,57,4311558,164450,198983,2161392,74.7,1749578,60.4,582633,1000553,166335,57,4379228,151291,180232,536764,30.7,533398,32.9,376768,45.6,225464,55.8,225610,301783,9371,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
New Hampshire,3000510,220673,271673,2422037,178129,2234065,202277,1356961,95,1258927,95,916731,67.4,846075,76.6,1759770,1072640,168100,0,109346,910028,1402588,75,335131,500416,81096,88,334870,430085,81038,82,N/A,95,N/A,95,62.1,774367,70.1,1356961,402000,95,234842,92.5,97183,120611,17010,38,672437,264881,1181940,1325197,95,898997,75,335024,482816,81069,88,2372812,197970,250341,1356032,95,916511,70.7,335026,500327,81070,88,2420853,186781,231505,134631,14.7,133384,15.8,90356,18.5,47073,20,63336,68175,3110,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
New Jersey,19143875,215531,275705,15181675,170923,13837536,199284,7506509,84.5,6759464,95,6296483,70.9,5705372,82.2,11336675,6906500,900700,0,535134,5823794,8821685,1062,2225266,3575765,494989,463,2224569,2985713,494650,440,N/A,84.5,N/A,95,66.8,5342657,76.9,7506509,1567217,95,1328408,90,618578,618180,91498,152,3537951,239774,1297420,7273529,95,6148596,80.7,2225203,3428031,494902,460,14806061,194347,251286,7505627,89.7,6296368,75.2,2225234,3575739,494932,463,15180773,181425,228788,2249884,35.7,2224945,39,1462253,50.2,788150,59.3,1011235,1191445,47182,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
New Mexico,3906275,186294,240981,3472036,165585,3169313,195517,1702151,81.2,1521362,93.9,1395271,66.5,1257024,77.5,2180855,1542120,183300,0,111865,1426802,1926057,7312,537137,751822,104318,1994,536716,614179,104163,1966,N/A,81.2,N/A,93.9,62.9,1181149,72.9,1702151,408479,95,343992,91.1,161000,161111,20880,1001,930976,246547,1034480,1645820,92.1,1361183,76.2,537100,717786,104303,1994,3386691,189473,218541,1701972,86.1,1395222,70.6,537121,751798,104309,1994,3471840,175714,197702,556854,39.9,552911,44,373629,55.5,216471,62.9,238379,310412,7980,83,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
New York State,40386775,207606,261822,34834997,179067,32048492,207766,16521379,84.9,14990023,95,14048735,72.2,12833870,83.2,24319475,14274800,1792500,0,1354564,12768038,20696408,15987,4815153,8019860,1209480,4242,4812566,6808941,1208501,3862,N/A,84.9,N/A,95,67.5,11920434,77.3,16521379,3388152,95,2930601,88.9,1384000,1360662,184315,1624,8013458,243116,1225270,16020800,95,13733424,81.9,4814572,7705401,1209295,4156,34020673,202827,240781,16519734,90.1,14048336,76.7,4815036,8019701,1209375,4224,34832854,190068,220373,4862474,34.6,4818630,37.5,3160628,49.9,1752017,59.8,2162022,2616926,83269,257,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
North Carolina,19284400,183870,235538,15114964,144116,13924735,170076,8116590,77.4,7449904,91,5981568,57,5486584,67,11171040,7216260,897100,0,492044,5665159,8956850,911,2102844,3417012,461576,136,2099771,2926541,460139,133,N/A,77.4,N/A,91,53.3,5094645,62.2,8116590,2097163,95,1485834,84.9,714362,718405,53006,61,4119819,235271,1101280,7907011,88,5852144,65.1,2102733,3287723,461552,136,14768464,164358,214616,8115680,82.2,5981237,60.5,2102788,3416754,461559,136,15113748,152999,195220,1260220,21.1,1249576,22.8,883014,29.8,522495,35.2,558550,679142,22516,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
North Dakota,1219960,160087,209654,1024301,134412,949182,163120,477002,62.6,437544,75.2,402983,52.9,371976,63.9,694280,473980,51700,0,38505,386551,598930,315,141696,225976,35307,4,141489,195325,35158,4,N/A,62.6,N/A,75.2,49.5,346051,59.5,477002,119633,95,101405,84.6,47731,49330,4343,1,286865,239363,1017950,463262,72.7,393871,61.8,141690,216876,35301,4,999134,156789,191443,476933,67.4,402971,56.9,141692,225972,35303,4,1024220,144672,172320,150556,37.4,149810,40.3,106229,54.4,66295,65.4,66575,81709,2269,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Ohio,20333655,173954,223175,16181328,138431,15018688,164840,7114444,60.9,6497945,71.3,6494339,55.6,5981819,65.7,11725635,7662720,945300,0,597299,6215755,9349346,18928,2320435,3635716,533189,4999,2319843,3124141,532945,4890,N/A,60.9,N/A,71.3,52.4,5616971,61.6,7114444,1869036,91.3,1763974,86.2,797211,874005,90310,2448,4829723,236020,993669,6909149,69.1,6347940,63.5,2320417,3489348,533177,4998,15825832,158247,203322,7114240,64.7,6494310,59,2320428,3635700,533183,4999,16181111,147124,184880,2815893,43.4,2792279,46.7,1984234,57.9,1194603,67.7,1228030,1538428,48978,457,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Oklahoma,6449300,162986,214638,5376180,135866,4990186,166078,2636160,66.6,2422779,80.6,2128398,53.8,1962154,65.3,3474680,2657220,317400,0,144739,2187598,3042676,1167,818411,1174774,135016,197,818134,1008926,134921,173,N/A,66.6,N/A,80.6,51,1852128,61.6,2636160,660333,95,537136,84.6,272486,244300,20305,45,1493299,235116,1015430,2582591,77.7,2094787,63,818390,1141202,134999,196,5288537,159043,193951,2635925,71.2,2128351,57.5,818393,1174759,135002,197,5375908,145238,174238,661725,31.1,657577,33.5,483991,45.8,304622,56.7,307032,345704,8965,24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Oregon,8683555,205882,259120,6890513,163370,6328809,188853,3133574,74.3,2832661,84.5,2810968,66.6,2562630,76.5,4949535,3281620,452400,0,261758,2588128,4029002,11625,976423,1591226,239489,3830,973541,1346753,238665,3671,N/A,74.3,N/A,84.5,62.5,2389207,71.3,3133574,740914,95,683986,89.3,308984,321949,51949,1104,1842609,240524,1133510,3029475,83.1,2739420,75.1,976419,1519690,239486,3825,6713284,184038,238051,3133546,78.5,2810961,70.5,976422,1591221,239488,3830,6890485,172697,217637,1132348,40.3,1123236,43.8,739186,56.8,460057,67.3,498547,615794,17667,340,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Pennsylvania,26336805,205724,259032,20403513,159378,18861415,185509,10119006,79,9273087,91.2,8221488,64.2,7563880,74.4,14898385,9972920,1465500,0,693874,7965777,11742514,1348,3004347,4526018,690513,610,3002134,3871178,690001,567,N/A,79,N/A,91.2,59,6895730,67.8,10119006,2628655,95,2180830,91.1,1025805,1066930,87819,276,5956537,248877,1100410,9837180,88.8,8033430,72.5,3004163,4338222,690436,609,19926844,179820,237664,10117422,83.6,8221007,67.9,3004230,4525705,690462,610,20401498,168551,217586,2747303,33.4,2722741,36,1990678,46.7,1227832,56.3,1237497,1500777,8989,40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Rhode Island,2343425,221211,274128,1981579,187054,1817485,212605,955179,90.2,860237,95,815706,77,737506,86.3,1372285,884140,87000,0,62654,760419,1157102,1404,281527,476052,57788,339,281413,397995,57761,337,N/A,90.2,N/A,95,73.8,703220,82.3,955179,209817,95,183339,95,82608,93994,6613,124,511710,273574,1252860,920545,95,790791,85.3,281518,451148,57787,338,1930152,208105,252663,955101,95,815698,81.2,281523,476050,57787,338,1981493,197195,233214,361735,44.3,357696,48.5,238951,61.8,132012,72,160141,197484,4088,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
South Carolina,9122215,177175,225935,6805135,132172,6368552,157734,3257609,63.3,3011600,74.6,2749856,53.4,2559376,63.4,4955495,3729920,436800,0,218717,2678010,3906356,2052,1003680,1548415,197410,351,1001617,1360599,196811,349,N/A,63.3,N/A,74.6,50.5,2410497,59.7,3257609,930101,95,798868,85.3,341518,426524,30622,204,2164616,231010,973532,3191959,72.2,2710867,61.3,1003563,1509587,197366,351,6703076,151654,206386,3256459,67.1,2749320,56.6,1003605,1547996,197368,351,6803426,140096,187845,899480,32.7,894136,34.9,692057,46,447787,56.1,388698,492339,17986,457,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
South Dakota,1627435,183962,243789,1276844,144332,1171864,175545,632752,71.5,573111,85.9,508494,57.5,465032,69.7,885555,655480,86400,0,38872,505084,732756,132,189933,281504,37024,33,189866,238139,36994,33,N/A,71.5,N/A,85.9,54.1,435331,65.2,632752,170701,95,139260,91.7,69322,65043,4875,20,378026,248913,1071590,613424,83.1,495919,67.2,189931,268936,37019,33,1244595,168621,220489,632712,76.8,508485,61.7,189931,281501,37020,33,1276802,155047,197626,179485,35.3,178378,38.4,131873,50.4,82792,59.5,83218,94120,2139,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Tennessee,11237360,164549,211263,9033505,132278,8484697,159513,4036390,59.1,3738978,70.3,3525049,51.6,3292141,61.9,6508640,4236820,491900,0,249574,3475191,5262658,46082,1271839,2019233,223505,10472,1271268,1787312,223221,10340,N/A,59.1,N/A,70.3,49.2,3127607,58.8,4036390,1033850,90.4,947178,82.8,470561,435886,35185,5546,2683226,234672,982808,3955761,67.8,3472357,59.5,1271802,1966668,223455,10432,8898425,152486,192567,4035791,62.9,3524922,54.9,1271822,2019163,223467,10470,9032768,140685,175021,1294313,36.7,1285665,39.1,938282,50.6,579322,61.2,554532,719879,17632,2270,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Texas,53738365,185331,248834,41184969,142037,37096219,171773,19533308,67.4,17288076,80.1,16610658,57.3,14964445,69.3,31837405,19362560,2538400,0,1456651,15427361,24297345,3612,5887030,9446867,1276128,633,5882574,7806787,1274495,589,N/A,67.4,N/A,80.1,53.8,13964350,64.7,19533308,3536586,94.7,3153559,84.5,1504057,1475454,173809,239,8599925,230300,1439080,18916707,78.5,16272658,67.5,5886353,9109932,1275759,614,40185742,166738,222970,19528580,72.3,16609456,61.5,5886523,9446427,1275873,633,41179091,152487,198994,4934151,29.7,4884311,32.6,3174841,45.3,1735411,55,2238648,2617334,78021,148,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
United States,632575655,190530,244938,515162867,155165,472684122,183027,245653518,74,222223265,86,207016514,62.4,188777814,73.1,368953715,234099340,29522600,0,17739932,196396103,300486092,540740,73598880,116875570,16395968,146096,73513211,98757922,16365584,141097,N/A,74,N/A,86,58.6,176495241,68.3,245653518,56049277,95,48079504,87.7,22928325,22771662,2319822,59695,132658538,242113,1154500,238375992,84.1,202375514,71.4,73593539,112245225,16391445,145305,503194317,177481,223115,245611609,78.7,207006442,66.3,73595731,116871652,16393009,146050,515113002,164960,202577,72991028,35.3,72344151,38.3,49191993,50.1,28668993,59.6,32519443,39359249,1096318,16018,35853990,28310069,3755484,N/A,36705758,30253945,1017757,15870,33353447,2467080,26520,6943,2076508,26200638,27016,5907,1233173,1557320,964014,977,42630,28907,207,2043,93,6.9,0.1,0,7.3,92.5,0.1,0,32.8,41.5,25.7,0,57.8,39.2,0.3,2.8,,
