State Name,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from Other manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from Other manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Other 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Other 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Other 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Other 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop,People 5+ with at least One Dose by State of Residence,Percent of 5+ Pop with at least One Dose by State of Residence,People 5+ Fully Vaccinated by State of Residence,Percent of 5+ Pop Fully Vaccinated by State of Residence,People 5+ Fully Vaccinated_Moderna_Resident,People 5+ Fully Vaccinated_Pfizer_Resident,People 5+ Fully Vaccinated_Janssen_Resident,People 5+ Fully Vaccinated_Other 2-dose Manuf_Resident,5+ Doses Administered by State where Administered,Doses Administered per 100k of 5+ pop  by State where Administered,Doses Delivered per 100k of 5+ pop,People who have received a booster dose,Percent of fully vaccinated people with booster doses,People 18+ who have received a booster dose,Percent of fully vaccinated people 18+ with booster doses,People 50+ who have received a booster dose,Percent of fully vaccinated people 50+ with booster doses,People 65+ who have received a booster dose,Percent of fully vaccinated people 65+ with booster doses,People with Moderna booster dose,People with Pfizer booster dose,People with Janssen booster dose,People with booster dose of an Other manufacturer,Total Count People w/Booster Primary Pfizer Minus TX,Total Count People w/Booster Primary Moderna Minus TX,Total Count People w/Booster Primary J&J Minus TX,Total Count People w/Booster Primary Other Minus TX,Total Count People w/Booster Booster Pfizer Minus TX,Total Count People w/Booster Booster Moderna Minus TX,Total Count People w/Booster Booster J&J Minus TX,Total Count People w/Booster Booster Other Minus TX,Count People Primary Pfizer Booster Pfizer,Count People Primary Pfizer Booster Moderna,Count People Primary Pfizer Booster J&J,Count People Primary Pfizer Booster Uknown,Count People Primary Moderna Booster Pfizer,Count People Primary Moderna Booster Moderna,Count People Primary Moderna Booster J&J,Count People Primary Moderna Booster Uknown,Count People Primary J&J Booster Pfizer,Count People Primary J&J Booster Moderna,Count People Primary J&J Booster J&J,Count People Primary J&J Booster Other,Count People Primary Other Booster Pfizer,Count People Primary Other Booster Moderna,Count People Primary Other Booster J&J,Count People Primary Other Booster Other,Percent People Primary Pfizer Booster Pfizer,Percent People Primary Pfizer Booster Moderna,Percent People Primary Pfizer Booster J&J,Percent People Primary Pfizer Booster Other,Percent People Primary Moderna Booster Pfizer,Percent People Primary Moderna Booster Moderna,Percent People Primary Moderna Booster J&J,Percent People Primary Moderna Booster Other,Percent People Primary J&J Booster Pfizer,Percent People Primary J&J Booster Moderna,Percent People Primary J&J Booster J&J,Percent People Primary J&J Booster Other,Percent People Primary Other Booster Pfizer,Percent People Primary Other Booster Moderna,Percent People Primary Other Booster J&J,Percent People Primary Other Booster Uknown,,
Georgia,18890595,177921,232828,13523352,127369,12514386,154241,6552709,61.7,5974446,73.6,5458048,51.4,5048103,62.2,10751455,7344540,794600,0,322115,5347806,7819493,33938,2068215,3077227,302339,10267,2067251,2669759,301876,9217,N/A,61.7,N/A,73.6,49.2,4811863,59.3,6552709,1403124,92.5,1227901,80.9,668754,522360,34506,2281,3314461,218494,1245300,6405562,71.3,5380512,59.9,2068134,2999949,302219,10210,13292083,147885,210173,6551094,65.8,5457806,54.8,2068162,3077126,302255,10263,13521533,135747,189648,1610217,29.5,1595991,31.6,1093094,41.5,609478,49.6,739839,850074,19387,917,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Hawaii,3033250,214232,271796,2280397,161060,2086058,186922,1274707,90,1149108,95,906741,64,836437,74.9,1798690,1111660,122900,0,58839,744042,1383452,94064,286698,543884,58012,18147,286079,474383,57845,18130,N/A,90,N/A,95,60.3,783291,70.2,1274707,309652,95,242598,90.4,100062,129990,11128,1418,616436,229630,1129920,1230480,95,889808,73.5,286646,527050,57976,18136,2220307,183328,250452,1273560,95,906565,68.1,286651,543799,57978,18137,2279786,171328,227952,167742,18.5,166886,20,121521,26.7,79264,32.7,54602,111387,1728,25,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Idaho,2979370,166719,222530,2040976,114208,2039041,152296,935749,52.4,931828,69.6,828885,46.4,826248,61.7,1678090,1150280,151000,0,80244,841422,1116316,2994,316388,436402,75385,710,316361,433822,75363,702,N/A,52.4,N/A,69.6,43,766175,57.2,935749,270184,93,246597,84.8,113337,120997,11964,299,665518,228960,1025000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326549,39.4,326524,39.5,238644,52.2,151225,61.3,143295,178483,4704,67,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Illinois,23954195,189035,243092,20156464,159065,18299877,185711,9252043,73,8248302,83.7,8193461,64.7,7366142,74.8,14467735,8346360,1140100,0,653478,7285599,12190662,26725,2736195,4840057,608759,8450,2728446,4023313,606136,8247,N/A,73,N/A,83.7,61.3,6941738,70.4,9252043,1952923,95,1775863,86.9,791305,897393,83503,3662,4882912,238980,1172370,8896907,82.1,7945885,73.3,2736080,4592657,608699,8449,19550027,180387,221024,9251421,77.6,8193251,68.7,2736097,4840002,608702,8450,20155710,169022,200876,3311210,40.4,3278341,44.5,2157024,57.7,1228315,69.2,1412833,1855553,41832,992,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Indiana,11315820,168085,219119,8589967,127595,7978636,154498,3917884,58.2,3577230,69.3,3511958,52.2,3255073,63,6747540,3994380,573900,0,292930,3144610,5124831,27596,1219167,2012597,272296,7898,1218827,1756457,272004,7785,N/A,58.2,N/A,69.3,49.1,3048979,59,3917884,990197,91.2,929933,85.6,455264,440370,30522,3777,2520400,232136,1042220,3815787,66.9,3458739,60.6,1219140,1959448,272270,7881,8436007,147869,198348,3917655,62,3511913,55.6,1219158,2012577,272280,7898,8589697,136045,179221,1276569,36.3,1265446,38.9,915638,50,560431,60.3,512660,746000,17295,614,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Iowa,5805975,184020,239103,4679330,148311,4320071,177910,2059274,65.3,1868876,77,1869493,59.3,1710198,70.4,3321275,2204500,280200,0,171435,1877054,2630397,444,696644,1015264,157299,286,696433,856273,157209,283,N/A,65.3,N/A,77,55.7,1596664,65.8,2059274,542156,95,506031,91.5,265958,225600,14350,123,1420194,256838,1049990,1996227,74.6,1823778,68.1,696631,969566,157296,285,4569696,170748,216942,2059182,69.6,1869485,63.2,696640,1015262,157297,286,4679242,158113,196185,858228,45.9,851412,49.8,608661,63.3,373824,73.9,402701,444016,11496,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Kansas,5287535,181496,238924,4129621,141750,3774705,170565,2035195,69.9,1838591,83.1,1670135,57.3,1519062,68.6,3014735,2023500,249300,0,128959,1590967,2406273,3422,608090,943147,118279,619,607718,792656,118149,539,N/A,69.9,N/A,83.1,54.2,1428502,64.5,2035195,515950,95,419931,88.3,199910,201580,18185,256,1156231,243168,1112030,1973765,80.5,1632259,66.6,608072,905313,118259,615,4030330,164389,215668,2035068,74.6,1670116,61.2,608082,943141,118274,619,4129484,151375,193826,584493,35,578649,38.1,404860,49.8,248651,59.2,260604,315301,8454,134,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Kentucky,7673385,171754,221467,5963769,133487,5543178,159985,2809036,62.9,2578004,74.4,2434650,54.5,2250231,64.9,4160085,3143100,370200,0,225269,2472482,3263896,2122,944824,1284922,203315,1589,944477,1101070,203171,1513,N/A,62.9,N/A,74.4,51.1,2096697,60.5,2809036,712346,94.9,634498,84.5,289872,305574,38269,783,1699049,226370,1022350,2739961,72,2389092,62.8,944723,1239501,203284,1584,5848640,153662,201604,2808680,67,2434604,58,944815,1284908,203293,1588,5962696,142136,182915,898247,36.9,892451,39.7,651262,51.5,392073,61.8,412591,466346,19199,111,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Louisiana,7198860,154854,202149,5713570,122904,5366187,150686,2689164,57.8,2489249,69.9,2349285,50.5,2204839,61.9,4011680,2872280,314900,0,187474,2357249,3165975,2872,928990,1249144,170125,1026,928474,1105412,169941,1012,N/A,57.8,N/A,69.9,47.6,2070577,58.1,2689164,666766,90,629432,84.9,299114,307945,22165,208,1658473,223809,971477,2647014,67.5,2331395,59.4,928964,1231310,170098,1023,5654149,144117,183489,2688956,61.9,2349223,54,928976,1249116,170105,1026,5713302,131421,165593,758894,32.3,754790,34.2,572500,45.9,356077,56.6,333869,414715,10281,29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
Maine,2966480,220685,270820,2544813,189316,2346004,214175,1162090,86.5,1058519,95,1024121,76.2,934663,85.3,1649740,1166040,150700,0,139422,1042828,1359654,2909,372472,522124,128927,598,372393,432873,128848,549,N/A,86.5,N/A,95,69.6,846625,77.3,1162090,319858,95,278635,95,126882,127064,24453,236,779621,273297,1039900,1122856,94.8,993067,83.8,372453,491112,128905,597,2474246,208808,250349,1161968,90.7,1024089,80,372465,522118,128908,598,2544679,198698,231634,471758,46.1,467421,50,337300,61.9,198450,71.2,224147,237769,9285,557,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
